item_name, sell_price, buy_price, date
Angel Data Compiler, 33399999, 27000000, 2026-05-02
Angel Device Construction Unit, 3898, 1206, 2026-05-02
Minmatar Device Construction Unit, 1550, 801, 2026-05-02
Reverse Process Decryptor, 146999999, 136000506, 2026-05-02
Reverse Symmetry Decryptor, 14000000, 12010000, 2026-05-02
Large Device Improvement Medium, 39000, 20096, 2026-05-02
Large Device Compilation Optimization Medium, 5999, 4110, 2026-05-02
Gist C-Type Large Autocannon,  1299999, 783354, 2026-05-02
Gist B-Type Large Autocannon,  1900000000, 100000000, 2026-05-02
Gist A-Type Large Autocannon,  14500000404, 10000080, 2026-05-02
Gist X-Type Large Autocannon,  , , 2026-05-02
