output_item_name, input_item_name, input_item_qty
Gist B-Type Large Autocannon, Angel Data Compiler, 20
Gist B-Type Large Autocannon, Gist C-Type Large Autocannon, 1
Gist B-Type Large Autocannon, Large Device Improvement Medium, 1034
Gist B-Type Large Autocannon, Large Device Compilation Optimization Medium, 52
Gist B-Type Large Autocannon, Angel Device Construction Unit, 89
Gist B-Type Large Autocannon, Minmatar Device Construction Unit, 3553
Gist B-Type Large Autocannon, Decryptor, 15
Gist A-Type Large Autocannon, Angel Data Compiler, 40
Gist A-Type Large Autocannon, Gist B-Type Large Autocannon, 1
Gist A-Type Large Autocannon, Large Device Improvement Medium, 1267
Gist A-Type Large Autocannon, Large Device Compilation Optimization Medium, 64
Gist A-Type Large Autocannon, Angel Device Construction Unit, 109
Gist A-Type Large Autocannon, Minmatar Device Construction Unit, 4355
Gist A-Type Large Autocannon, Decryptor, 19
Gist X-Type Large Autocannon, Angel Data Compiler, 80
Gist X-Type Large Autocannon, Gist A-Type Large Autocannon, 1
Gist X-Type Large Autocannon, Large Device Improvement Medium, 1545
Gist X-Type Large Autocannon, Large Device Compilation Optimization Medium, 78
Gist X-Type Large Autocannon, Angel Device Construction Unit, 133
Gist X-Type Large Autocannon, Minmatar Device Construction Unit, 5310
Gist X-Type Large Autocannon, Decryptor, 24
Gistum B-Type Gyrostabilizer, Angel Data Compiler, 5
Gistum B-Type Gyrostabilizer, Gistum C-Type Gyrostabilizer, 1
Gistum B-Type Gyrostabilizer, Small Device Improvement Medium, 811
Gistum B-Type Gyrostabilizer, Small Device Compilation Optimization Medium, 41
Gistum B-Type Gyrostabilizer, Angel Device Construction Unit, 41
Gistum B-Type Gyrostabilizer, Minmatar Device Construction Unit, 1622
Gistum B-Type Gyrostabilizer, Decryptor, 10
Gistum A-Type Gyrostabilizer, Angel Data Compiler, 10
Gistum A-Type Gyrostabilizer, Gistum B-Type Gyrostabilizer, 1
Gistum A-Type Gyrostabilizer, Small Device Improvement Medium, 929
Gistum A-Type Gyrostabilizer, Small Device Compilation Optimization Medium, 47
Gistum A-Type Gyrostabilizer, Angel Device Construction Unit, 47
Gistum A-Type Gyrostabilizer, Minmatar Device Construction Unit, 1857
Gistum A-Type Gyrostabilizer, Decryptor, 12
Gistum X-Type Gyrostabilizer, Angel Data Compiler, 20
Gistum X-Type Gyrostabilizer, Gistum A-Type Gyrostabilizer, 1
Gistum X-Type Gyrostabilizer, Small Device Improvement Medium, 1054
Gistum X-Type Gyrostabilizer, Small Device Compilation Optimization Medium, 53
Gistum X-Type Gyrostabilizer, Angel Device Construction Unit, 53
Gistum X-Type Gyrostabilizer, Minmatar Device Construction Unit, 2107
Gistum X-Type Gyrostabilizer, Decryptor, 16
Gistum B-Type Reactive Sheild Hardener, Angel Data Compiler, 5
Gistum B-Type Reactive Sheild Hardener, Gistum C-Type Reactive Sheild Hardener, 1
Gistum B-Type Reactive Sheild Hardener, Small Device Improvement Medium, 341
Gistum B-Type Reactive Sheild Hardener, Small Device Compilation Optimization Medium, 18
Gistum B-Type Reactive Sheild Hardener, Angel Device Construction Unit, 19
Gistum B-Type Reactive Sheild Hardener, Minmatar Device Construction Unit, 682
Gistum B-Type Reactive Sheild Hardener, Decryptor, 8
Gistum A-Type Reactive Sheild Hardener, Angel Data Compiler, 10
Gistum A-Type Reactive Sheild Hardener, Gistum B-Type Reactive Sheild Hardener, 1
Gistum A-Type Reactive Sheild Hardener, Small Device Improvement Medium, 395
Gistum A-Type Reactive Sheild Hardener, Small Device Compilation Optimization Medium, 20
